product_id,product_category,month,price,units_sold,revenue,marketing_spend,customer_rating
P001,Electronics,Jan,120,210,25200,3000,4.2
P001,Electronics,Feb,125,230,28750,3200,4.3
P001,Electronics,Mar,130,250,32500,3500,4.4
P002,Home Appliances,Jan,90,180,16200,2000,4
P002,Home Appliances,Feb,95,200,19000,2300,4.1
P002,Home Appliances,Mar,100,220,22000,2600,4.2
P003,Furniture,Jan,250,80,20000,1500,4.3
P003,Furniture,Feb,260,90,23400,1800,4.4
P003,Furniture,Mar,270,95,25650,2000,4.5
P004,Electronics,Jan,150,160,24000,2800,4.1
P004,Electronics,Feb,155,170,26350,3000,4.2
P004,Electronics,Mar,160,190,30400,3300,4.3
